SL.NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
237,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,5,0,2,3
238,A- IPC Crime,AFFRAY (Sec. 160 IPC ),NA,68,39,34,34
239,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,19,8,9,10
240,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,1,0,0,1
241,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Boat / Ship,0,0,0,0
242,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Dwelling House,5,0,2,3
243,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Educational Institution,0,0,0,0
244,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Govt. Property,0,3,0,0
245,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Industrial Establishment,1,0,0,1
246,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Place of worship,0,0,0,0
247,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Public Place,3,1,1,2
248,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Railway Property,0,0,0,0
249,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Vital Installation,0,0,0,0
250,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Warehouse (Godown),2,0,0,2
251,A- IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Others,22,18,10,12
252,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,0,0,0,0
253,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Contractor,0,0,0,0
254,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0
255,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Labourer,0,0,0,0
256,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (General),0,1,0,0
257,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),0,0,0,0
258,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),0,0,0,0
259,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),0,0,0,0
260,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",0,0,0,0
261,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0
262,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0
263,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,2,0,1,1
264,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Press,0,0,0,0
265,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Professional ,1,0,0,1
266,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,1,1,1,0
267,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Student,0,0,0,0
268,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0
269,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Women (General),2,0,1,1
270,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),0,0,0,0
271,A- IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0
272,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Attempt to Commit,0,1,0,0
273,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Caste Issue,1,2,1,0
274,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Communal Issue,1,5,1,0
275,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Linguistic Issue,0,0,0,0
276,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Political Issue,1,0,0,1
277,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Racial/Ethnic Issue,0,0,0,0
278,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Regional Issue,1,0,0,1
279,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Religious Issue,8,14,7,1
280,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Sectarian Issue,0,0,0,0
281,A- IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Others,6,10,2,4
282,A- IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Conspiracy To Wage War,1,0,1,0
283,A- IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Related to Substantive Offence,0,2,0,0
284,A- IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Others,5,3,4,1
285,A- IPC Crime,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),NA,351,176,171,180
286,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Attempt to Commit,0,0,0,0
287,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Bank,0,0,0,0
288,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Business Establishment,0,0,0,0
289,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Charitable Organisation,0,0,0,0
290,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Chitfund Organisation,0,0,0,0
291,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Co-operative Organisation,0,0,0,0
292,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Commercial Establishment/Shop,0,0,0,0
293,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Customs Department,0,0,0,0
294,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Excise Department,0,0,0,0
295,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Financial Institution,0,0,0,0
296,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Income Tax Department,0,0,0,0
297,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Other Government Organisation,0,0,0,0
298,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Postal Department,0,0,0,0
299,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Public Sector Undertakings,0,0,0,0
300,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Railway Department,0,0,0,0
301,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Revenue Department,0,0,0,0
302,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Sales Tax Department,0,0,0,0
303,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Social Organisation (Aided) (N),0,0,0,0
304,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Transport Authority,0,0,0,0
305,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Other than religious,0,1,0,0
306,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Religious,0,0,0,0
307,A- IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Others,0,1,0,0
308,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Attempt to Commit,2,3,1,1
309,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Club,1,0,0,1
310,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hostel,0,0,0,0
311,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hotel,1,1,0,1
312,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),House,79,37,42,37
313,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Land,183,82,91,92
314,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Office,10,5,4,6
315,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Prohibited Places,2,1,0,2
316,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Religious Place,4,1,3,1
317,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Restricted Area,3,1,0,3
318,A- IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Others,34,15,23,11
319,A- IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband ,154,75,71,83
320,A- IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband And Relative(S) in Law,186,80,93,93
321,A- IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Relative(S) in Law,6,4,3,3
322,A- IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Dowry Harassment,80,19,42,38
323,A- IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Prevention of Gaming,0,0,0,0
324,A- IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Husband  ,0,0,0,0
325,A- IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Husband And Relatives In Law,8,5,2,6
326,A- IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Relatives in Law,0,0,0,0
327,A- IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Burning,0,0,0,0
328,A- IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Hanging,6,8,3,3
329,A- IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Other Means,1,0,1,0
330,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution,2,0,1,1
331,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Adulterated Food/Drug,0,0,0,0
332,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Accident by Air,1,0,0,1
333,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Boad Accident,0,1,0,0
334,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Bridge/Dam Collapse,0,0,0,0
335,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Building Collapse,1,2,0,1
336,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Caused By Animal,1,0,1,0
337,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Death Due to Other Cause,9,7,3,6
338,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution Accident,7,5,6,1
339,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Explosion Accident,0,0,0,0
340,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Fire accident,0,2,0,0
341,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Gas Leakage Accident,0,0,0,0
342,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Infrastucture In Construction,17,8,11,6
343,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Medical Treatment,1,0,1,0
344,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Custody of Public Servant,0,0,0,0
345,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Jail/Judicial Custody,0,0,0,0
346,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Police Custody,0,0,0,0
347,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Industrial Accident (Factory),0,1,0,0
348,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Inflammable Substance,0,0,0,0
349,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Mine Accident,0,0,0,0
350,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Poisonous Substance,0,0,0,0
351,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Quarry Accident,0,0,0,0
352,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Spurious Liquor (Hooch) Accident,0,0,0,0
353,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Railway Accident,0,0,0,0
354,A- IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Others,12,4,9,3
355,A- IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),National Highways,601,286,314,287
356,A- IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),State Highways,555,287,283,272
357,A- IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Roads,691,355,350,341
358,A- IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Places,27,14,14,13
359,A- IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",National Highways,1761,775,897,864
360,A- IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",State Highways,1319,585,650,669
361,A- IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Roads,2339,981,1276,1063
362,A- IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Places,89,42,45,44
363,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Child,2,3,0,2
364,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Woman,0,0,0,0
365,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Women and Child,0,0,0,0
366,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Sub Total,2,3,0,2
367,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)","DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",,,,
368,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Air Force,0,0,0,0
369,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Army,0,1,0,0
370,A- IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Navy,0,0,0,0
371,A- IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Jail Custody,2,0,0,2
372,A- IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Police Custody,3,1,2,1
373,A- IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",Others,5,0,1,4
374,A- IPC Crime,"IMPERSONATION (Sec.170, 171 IPC)",Attempt to Commit,2,0,2,0
375,A- IPC Crime,"IMPERSONATION (Sec.170, 171 IPC)",Non-Uniformed Authority,1,0,1,0
376,A- IPC Crime,"IMPERSONATION (Sec.170, 171 IPC)",Uniformed Authority,1,0,0,1
377,A- IPC Crime,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC)",NA,76,57,41,35
378,A- IPC Crime,MOLESTATION (Sec.354 IPC),Attempt to Commit,13,3,6,7
379,A- IPC Crime,MOLESTATION (Sec.354 IPC),Private Place,144,75,70,74
380,A- IPC Crime,MOLESTATION (Sec.354 IPC),Public Conveyance,1,1,1,0
381,A- IPC Crime,MOLESTATION (Sec.354 IPC),Public Place,312,145,163,149
382,A- IPC Crime,MOLESTATION (Sec.354 IPC),Other Places,430,226,221,209
383,A- IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC),Attempt to Commit,1,1,1,0
384,A- IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC),Fatal,0,0,0,0
385,A- IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC),Non Fatal,1,0,0,1
386,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Advertisement,0,0,0,0
387,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Audio Tape,0,0,0,0
388,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Book,0,0,0,0
389,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Computer Software,0,0,0,0
390,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Figures,0,0,0,0
391,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Film (Blue),0,0,0,0
392,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Painting,0,0,0,0
393,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Pamphlet,0,0,0,0
394,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Paper,0,0,0,0
395,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Photography,0,0,0,0
396,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Poster,0,0,0,0
397,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Video Film(Blue),1,0,1,0
398,A- IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Others,1,0,1,0
399,A- IPC Crime,PUBLIC JUSTICE (Sec.213 to 215 IPC),NA,0,1,0,0
400,A- IPC Crime,PUBLIC NUISANCE (Sec.291 and 510 IPC),NA,13,5,7,6
401,A- IPC Crime,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC)",NA,1207,206,671,536
402,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Attempt to Commit,1,2,0,1
403,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Defence Personnel,0,0,0,0
404,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Jail Personnel,3,1,3,0
405,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Judicial Official,1,0,0,1
406,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Minister,0,0,0,0
407,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MLA,0,0,0,0
408,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MP,0,0,0,0
409,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Nationalised Bank Personnel,0,0,0,0
410,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Elected Member,1,0,0,1
411,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Enforcement Official,1,0,1,0
412,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Govt. Official,75,27,35,40
413,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Para Military Personnel,0,0,0,0
414,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Police Personnel,62,30,32,30
415,A- IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Public Sector Undertaking Official,13,7,7,6
416,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Defence Personnel,0,0,0,0
417,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Jail Personnel,0,0,0,0
418,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Judicial Official,0,0,0,0
419,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Minister,0,0,0,0
420,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MLA,0,0,0,0
421,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MP,0,0,0,0
422,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Nationalised Bank Personnel,0,0,0,0
423,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Elected Member,0,0,0,0
424,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0,0,0,0
425,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,0,1,0,0
426,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0,0,0,0
427,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,0,1,0,0
428,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0,0,0,0
429,A- IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,0,0,0,0
430,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Death Causeed By Electric Shock,9,3,3,6
431,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,7,2,3,4
432,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,0,0,0,0
433,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,3,2,1,2
434,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,1,0,1,0
435,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,23,9,12,11
436,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,3,1,0,3
437,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,130,50,56,74
438,A- IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,43,19,20,23
439,A- IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),NA,0,1,0,0
440,A- IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,0,0,0,0
441,A- IPC Crime,SEDITION (Sec. 124A IPC),By Foreigner,0,0,0,0
442,A- IPC Crime,SEDITION (Sec. 124A IPC),By National,0,0,0,0
443,A- IPC Crime,SEDITION (Sec. 124A IPC),By National And Foreigner,0,0,0,0
444,A- IPC Crime,SEDITION (Sec. 124A IPC),Sub Total,0,0,0,0
445,A- IPC Crime,SEDITION (Sec. 124A IPC),INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),,,,
446,A- IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,1,0,0,1
447,A- IPC Crime,SEDITION (Sec. 124A IPC),Office,3,0,1,2
448,A- IPC Crime,SEDITION (Sec. 124A IPC),Public Conveyance,1,0,0,1
449,A- IPC Crime,SEDITION (Sec. 124A IPC),Public Place,3,2,1,2
450,A- IPC Crime,SEDITION (Sec. 124A IPC),Other Places,6,5,5,1
451,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,2,2,1,1
452,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,43,29,20,23
453,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,56,26,27,29
454,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,33,6,15,18
455,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Sub Total,134,63,63,71
456,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",UNNATURAL SEX (Sec.377 IPC),NA,NA,NA,NA
457,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment  ,0,0,0,0
458,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Animal  ,2,1,2,0
459,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt,0,0,0,0
460,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Major - Man,0,0,0,0
461,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Major - Woman,0,0,0,0
462,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Minor - Boy,0,0,0,0
463,A- IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Minor - Girl,0,0,0,0
464,A- IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,4,1,2,2
