Sl. No.,A - IPC Crime,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,
235,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,1,0,0,0,
236,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0,
237,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,12,0,6,4,
238,A - IPC Crime,AFFRAY (Sec. 160 IPC ),NA,248,28,34,36,
239,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,40,1,2,1,
240,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,0,0,0,0,
241,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Boat / Ship,0,0,0,0,
242,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Dwelling House,8,2,2,1,
243,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Educational Institution,1,0,0,0,
244,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Govt. Property,4,0,0,0,
245,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Industrial Establishment,0,0,0,0,
246,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Place of worship,0,1,0,0,
247,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Public Place,10,1,1,3,
248,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Railway Property,0,0,0,0,
249,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Vital Installation,0,0,0,0,
250,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Warehouse (Godown),2,1,0,0,
251,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Others,102,8,17,8,
252,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,2,0,0,0,
253,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Contractor,0,0,0,0,
254,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0,
255,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Labourer,0,0,0,0,
256,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (General),5,0,0,1,
257,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),0,0,0,0,
258,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),0,0,0,0,
259,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),0,0,0,0,
260,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",1,0,0,0,
261,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0,
262,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0,
263,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,0,0,0,0,
264,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Press,0,0,0,0,
265,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Professional ,0,0,0,0,
266,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,2,0,0,0,
267,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Student,1,0,0,0,
268,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0,
269,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Women (General),2,1,0,0,
270,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),0,0,0,0,
271,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0,
272,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Attempt to Commit,2,0,0,0,
273,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Caste Issue,7,0,0,0,
274,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Communal Issue,32,1,3,6,
275,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Linguistic Issue,0,0,0,0,
276,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Political Issue,0,0,0,0,
277,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Racial/Ethnic Issue,0,0,0,0,
278,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Regional Issue,12,0,0,0,
279,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Religious Issue,37,2,2,2,
280,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Sectarian Issue,0,0,0,0,
281,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Others,43,2,1,8,
282,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Conspiracy To Wage War,5,0,0,2,
283,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Related to Substantive Offence,3,0,0,0,
284,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Others,23,3,5,2,
285,A - IPC Crime,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),NA,1305,159,190,178,
286,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Attempt to Commit,0,0,0,0,
287,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Bank,1,0,0,1,
288,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Business Establishment,1,0,0,0,
289,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Charitable Organisation,0,0,0,0,
290,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Chitfund Organisation,0,0,0,0,
291,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Co-operative Organisation,2,0,0,1,
292,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Commercial Establishment/Shop,0,0,0,0,
293,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Customs Department,0,0,0,0,
294,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Excise Department,0,0,0,0,
295,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Financial Institution,5,0,0,4,
296,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Income Tax Department,0,0,0,0,
297,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Other Government Organisation,1,0,1,0,
298,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Postal Department,0,0,0,0,
299,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Public Sector Undertakings,0,0,0,0,
300,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Railway Department,0,0,0,0,
301,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Revenue Department,0,0,0,0,
302,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Sales Tax Department,0,0,0,0,
303,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Social Organisation (Aided) (N),0,0,0,0,
304,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Transport Authority,0,0,0,0,
305,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Other than religious,1,0,0,0,
306,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Religious,0,0,0,0,
307,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Others,4,0,1,0,
308,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Attempt to Commit,6,0,0,0,
309,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Club,0,0,0,0,
310,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hostel,2,0,0,2,
311,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hotel,4,2,0,0,
312,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),House,301,46,45,45,
313,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Land,633,96,126,92,
314,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Office,25,2,5,3,
315,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Prohibited Places,7,2,2,0,
316,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Religious Place,6,0,0,0,
317,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Restricted Area,7,1,1,0,
318,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Others,106,18,13,17,
319,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband ,625,90,101,81,
320,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband And Relative(S) in Law,823,96,139,115,
321,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Relative(S) in Law,17,3,2,1,
322,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Dowry Harassment,268,30,45,34,
323,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Prevention of Gaming,0,0,0,0,
324,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Husband  ,7,1,2,0,
325,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Husband And Relatives In Law,37,3,4,9,
326,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Relatives in Law,0,0,0,0,
327,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Burning,0,0,0,0,
328,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Hanging,41,5,9,5,
329,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Other Means,7,1,3,1,
330,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution,7,2,1,2,
331,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Adulterated Food/Drug,0,0,0,0,
332,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Accident by Air,0,0,0,0,
333,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Boad Accident,1,0,1,0,
334,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Bridge/Dam Collapse,0,0,0,0,
335,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Building Collapse,5,0,0,2,
336,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Caused By Animal,0,0,0,0,
337,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Death Due to Other Cause,52,4,5,3,
338,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution Accident,37,8,3,5,
339,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Explosion Accident,2,1,0,0,
340,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Fire accident,4,0,0,0,
341,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Gas Leakage Accident,1,2,0,0,
342,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Infrastucture In Construction,36,5,5,7,
343,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Medical Treatment,1,0,0,0,
344,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Custody of Public Servant,0,0,0,0,
345,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Jail/Judicial Custody,0,0,0,0,
346,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Police Custody,0,0,0,0,
347,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Industrial Accident (Factory),4,0,0,1,
348,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Inflammable Substance,0,0,0,0,
349,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Mine Accident,0,0,0,0,
350,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Poisonous Substance,0,0,0,0,
351,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Quarry Accident,0,0,0,0,
352,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Spurious Liquor (Hooch) Accident,0,0,0,0,
353,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Railway Accident,0,0,0,0,
354,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Others,49,1,7,11,
355,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),National Highways,2220,255,321,264,
356,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),State Highways,1807,185,293,191,
357,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Roads,2278,272,273,273,
358,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Places,128,8,9,21,
359,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",National Highways,5565,620,809,734,
360,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",State Highways,4043,461,554,558,
361,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Roads,7044,753,1022,932,
362,A - IPC Crime,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Places,284,32,36,40,
363,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Child,8,0,0,1,
364,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Woman,0,0,0,0,
365,A - IPC Crime,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Women and Child,0,0,0,0,
366,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Air Force,0,0,0,0,
367,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Army,1,0,0,0,
368,A - IPC Crime,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Navy,0,0,0,0,
369,A - IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Jail Custody,8,0,0,4,
370,A - IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Police Custody,12,3,1,4,
371,A - IPC Crime,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",Others,3,3,0,0,
372,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC)",Attempt to Commit,4,0,1,3,
373,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC)",Non-Uniformed Authority,2,0,0,1,
374,A - IPC Crime,"IMPERSONATION (Sec.170, 171 IPC)",Uniformed Authority,0,0,0,0,
375,A - IPC Crime,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC)",NA,248,22,32,36,
376,A - IPC Crime,MOLESTATION (Sec.354 IPC),Attempt to Commit,73,10,15,6,
377,A - IPC Crime,MOLESTATION (Sec.354 IPC),Private Place,577,70,91,72,
378,A - IPC Crime,MOLESTATION (Sec.354 IPC),Public Conveyance,4,0,1,0,
379,A - IPC Crime,MOLESTATION (Sec.354 IPC),Public Place,1081,125,170,123,
380,A - IPC Crime,MOLESTATION (Sec.354 IPC),Other Places,1770,217,294,193,
381,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC),Attempt to Commit,5,1,2,1,
382,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC),Fatal,1,0,0,0,
383,A - IPC Crime,POISONING-PROFESSIONAL (Sec. 328 IPC),Non Fatal,1,0,0,1,
384,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Advertisement,0,0,0,0,
385,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Audio Tape,0,0,0,0,
386,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Book,0,0,0,0,
387,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Computer Software,0,0,0,0,
388,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Figures,0,0,0,0,
389,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Film (Blue),0,0,0,0,
390,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Painting,0,0,0,0,
391,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Pamphlet,0,0,0,0,
392,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Paper,0,0,0,0,
393,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Photography,0,0,0,0,
394,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Poster,0,0,0,0,
395,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Video Film(Blue),0,0,0,0,
396,A - IPC Crime,PORNOGRAPHY (Sec.292 to 294 IPC),Others,2,1,0,0,
397,A - IPC Crime,PUBLIC JUSTICE (Sec.213 to 215 IPC),NA,4,1,1,1,
398,A - IPC Crime,PUBLIC NUISANCE (Sec.291 and 510 IPC),NA,31,1,7,3,
399,A - IPC Crime,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC)",NA,1690,195,214,267,
400,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Attempt to Commit,9,0,3,0,
401,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Defence Personnel,0,0,0,0,
402,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Jail Personnel,2,0,0,0,
403,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Judicial Official,4,2,1,0,
404,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Minister,0,0,0,0,
405,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MLA,0,0,0,0,
406,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MP,0,0,0,0,
407,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Nationalised Bank Personnel,0,1,0,0,
408,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Elected Member,2,0,0,0,
409,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Enforcement Official,2,1,0,0,
410,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Govt. Official,248,27,36,31,
411,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Para Military Personnel,1,0,1,0,
412,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Police Personnel,243,27,28,45,
413,A - IPC Crime,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Public Sector Undertaking Official,54,8,9,5,
414,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Defence Personnel,0,0,0,0,
415,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Jail Personnel,0,0,0,0,
416,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Judicial Official,0,0,0,0,
417,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Minister,0,0,0,0,
418,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MLA,0,0,0,0,
419,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MP,0,0,0,0,
420,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Nationalised Bank Personnel,0,0,0,0,
421,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Elected Member,0,1,0,0,
422,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0,0,0,0,
423,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,5,2,1,2,
424,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0,0,0,0,
425,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,2,0,0,0,
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0,0,0,0,
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,4,0,0,0,
428,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Death Causeed By Electric Shock,45,9,4,12,
429,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,16,2,3,2,
430,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,3,0,1,0,
431,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,13,1,3,1,
432,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,7,1,1,1,
433,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,80,15,7,7,
434,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,6,2,0,2,
435,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,498,44,96,70,
436,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,211,11,37,26,
437,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),NA,1,0,0,0,
438,A - IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,0,0,0,0,
439,A - IPC Crime,SEDITION (Sec. 124A IPC),By Foreigner,0,0,0,0,
440,A - IPC Crime,SEDITION (Sec. 124A IPC),By National,0,0,0,0,
441,A - IPC Crime,SEDITION (Sec. 124A IPC),By National And Foreigner,0,0,0,0,
442,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Attempt to Commit,1,1,1,0,
443,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Office,3,0,0,0,
444,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Conveyance,0,0,0,0,
445,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Place,19,1,1,5,
446,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Other Places,17,3,3,1,
447,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,11,0,2,3,
448,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,184,22,23,23,
449,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,194,20,30,34,
450,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,64,8,11,7,
452,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",UNNATURAL SEX (Sec.377 IPC),NA,NA,NA,NA,NA
453,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment  ,0,0,0,0,
454,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Animal  ,3,0,0,0,
455,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt,0,0,0,0,
456,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Major - Man,2,0,0,0,
457,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Major - Woman,1,0,0,0,
458,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Minor - Boy,1,0,1,0,
