id,name,badge_number,rank,station_id,status
130,Officer KSP-65-01,KSP-65-01,Sub-Inspector,65,ACTIVE
131,Officer KSP-66-00,KSP-66-00,Inspector,66,ACTIVE
132,Officer KSP-66-01,KSP-66-01,Sub-Inspector,66,ACTIVE
133,Officer KSP-67-00,KSP-67-00,Inspector,67,ACTIVE
134,Officer KSP-67-01,KSP-67-01,Sub-Inspector,67,ACTIVE
135,Officer KSP-68-00,KSP-68-00,Inspector,68,ACTIVE
136,Officer KSP-68-01,KSP-68-01,Sub-Inspector,68,ACTIVE
137,Officer KSP-69-00,KSP-69-00,Inspector,69,ACTIVE
138,Officer KSP-69-01,KSP-69-01,Sub-Inspector,69,ACTIVE
139,Officer KSP-70-00,KSP-70-00,Inspector,70,ACTIVE
140,Officer KSP-70-01,KSP-70-01,Sub-Inspector,70,ACTIVE
141,Officer KSP-71-00,KSP-71-00,Inspector,71,ACTIVE
142,Officer KSP-71-01,KSP-71-01,Sub-Inspector,71,ACTIVE
143,Officer KSP-72-00,KSP-72-00,Inspector,72,ACTIVE
144,Officer KSP-72-01,KSP-72-01,Sub-Inspector,72,ACTIVE
145,Officer KSP-73-00,KSP-73-00,Inspector,73,ACTIVE
146,Officer KSP-73-01,KSP-73-01,Sub-Inspector,73,ACTIVE
147,Officer KSP-74-00,KSP-74-00,Inspector,74,ACTIVE
148,Officer KSP-74-01,KSP-74-01,Sub-Inspector,74,ACTIVE
149,Officer KSP-75-00,KSP-75-00,Inspector,75,ACTIVE
150,Officer KSP-75-01,KSP-75-01,Sub-Inspector,75,ACTIVE
