fir_id,accused_id,arrest_date,status
90,2,2024-09-18T14:00:00,UNDER_INQUIRY
91,8,2026-03-21T23:00:00,UNDER_INQUIRY
92,9,2025-10-22T17:00:00,UNDER_INQUIRY
93,7,2026-05-09T06:00:00,UNDER_INQUIRY
94,4,2025-09-18T06:00:00,UNDER_INQUIRY
96,2,2025-06-22T18:00:00,UNDER_INQUIRY
97,1,2025-09-03T14:00:00,UNDER_INQUIRY
98,4,2023-09-28T06:00:00,ARRESTED
99,3,2023-12-31T05:00:00,ARRESTED
100,4,2025-02-15T04:00:00,UNDER_INQUIRY
101,8,2025-11-25T13:00:00,UNDER_INQUIRY
103,2,2023-06-06T10:00:00,ARRESTED
104,6,2026-01-19T23:00:00,UNDER_INQUIRY
105,2,2023-09-01T12:00:00,ARRESTED
106,7,2025-07-14T17:00:00,UNDER_INQUIRY
107,5,2023-08-27T04:00:00,ARRESTED
108,6,2025-04-24T23:00:00,UNDER_INQUIRY
109,4,2025-10-03T07:00:00,UNDER_INQUIRY
110,1,2023-09-27T23:00:00,ARRESTED
112,1,2025-08-26T20:00:00,UNDER_INQUIRY
114,8,2023-07-02T03:00:00,ARRESTED
116,1,2025-01-25T22:00:00,UNDER_INQUIRY
118,4,2025-09-09T01:00:00,UNDER_INQUIRY
119,6,2023-05-18T18:00:00,ARRESTED
121,6,2025-06-25T05:00:00,UNDER_INQUIRY
123,1,2025-06-06T19:00:00,UNDER_INQUIRY
124,7,2024-05-05T19:00:00,ARRESTED
125,9,2024-05-07T16:00:00,ARRESTED
126,1,2024-04-11T21:00:00,ARRESTED
127,6,2026-02-05T21:00:00,UNDER_INQUIRY
128,5,2026-02-19T09:00:00,UNDER_INQUIRY
129,2,2026-04-11T00:00:00,UNDER_INQUIRY
130,6,2023-07-13T14:00:00,ARRESTED
131,6,2023-09-30T00:00:00,ARRESTED
132,6,2024-11-14T02:00:00,ARRESTED
133,2,2023-06-04T05:00:00,ARRESTED
135,3,2026-01-06T02:00:00,UNDER_INQUIRY
136,9,2023-03-06T04:00:00,ARRESTED
137,3,2023-06-15T16:00:00,ARRESTED
139,2,2023-04-15T08:00:00,ARRESTED
140,9,2026-06-15T17:00:00,UNDER_INQUIRY
142,2,2023-07-22T00:00:00,ARRESTED
143,1,2024-06-11T19:00:00,ARRESTED
144,6,2024-12-09T23:00:00,ARRESTED
147,5,2024-08-03T15:00:00,UNDER_INQUIRY
148,3,2025-03-29T12:00:00,UNDER_INQUIRY
149,6,2024-06-13T08:00:00,ARRESTED
150,3,2024-08-26T02:00:00,UNDER_INQUIRY
151,10,2025-04-25T23:00:00,UNDER_INQUIRY
152,3,2025-08-03T11:00:00,UNDER_INQUIRY
154,5,2023-12-09T22:00:00,ARRESTED
155,6,2024-02-03T10:00:00,UNDER_INQUIRY
156,10,2023-12-05T17:00:00,ARRESTED
157,10,2025-04-03T09:00:00,UNDER_INQUIRY
158,4,2023-06-03T21:00:00,ARRESTED
159,1,2023-09-28T03:00:00,ARRESTED
160,7,2024-03-20T06:00:00,ARRESTED
161,7,2024-10-04T03:00:00,UNDER_INQUIRY
162,10,2023-11-08T01:00:00,ARRESTED
163,10,2024-01-14T17:00:00,ARRESTED
164,3,2024-10-06T14:00:00,ARRESTED
165,9,2025-08-27T22:00:00,UNDER_INQUIRY
166,7,2023-06-09T12:00:00,ARRESTED
167,6,2024-02-08T12:00:00,UNDER_INQUIRY
168,9,2023-10-02T02:00:00,ARRESTED
169,1,2025-08-24T03:00:00,UNDER_INQUIRY
170,5,2023-05-31T18:00:00,ARRESTED
171,4,2025-09-24T22:00:00,UNDER_INQUIRY
172,4,2026-06-10T17:00:00,UNDER_INQUIRY
175,6,2025-08-29T12:00:00,UNDER_INQUIRY
176,6,2024-10-12T14:00:00,ARRESTED
178,10,2024-02-10T14:00:00,ARRESTED
179,5,2023-05-16T16:00:00,ARRESTED
180,3,2025-05-23T16:00:00,UNDER_INQUIRY
181,9,2024-06-14T19:00:00,UNDER_INQUIRY
182,5,2025-08-18T08:00:00,UNDER_INQUIRY
183,4,2024-06-30T09:00:00,UNDER_INQUIRY
184,6,2025-07-02T08:00:00,UNDER_INQUIRY
185,1,2023-01-27T07:00:00,ARRESTED
187,6,2023-05-31T10:00:00,ARRESTED
190,8,2024-11-16T05:00:00,UNDER_INQUIRY
191,7,2025-12-07T11:00:00,UNDER_INQUIRY
192,6,2025-02-04T09:00:00,UNDER_INQUIRY
193,4,2025-02-07T23:00:00,UNDER_INQUIRY
194,10,2025-10-17T21:00:00,UNDER_INQUIRY
196,3,2023-05-26T03:00:00,ARRESTED
197,3,2026-04-05T08:00:00,UNDER_INQUIRY
198,8,2026-01-13T13:00:00,UNDER_INQUIRY
199,1,2024-03-08T14:00:00,ARRESTED
200,5,2024-06-01T21:00:00,ARRESTED
201,6,2024-10-18T09:00:00,ARRESTED
202,1,2023-03-31T04:00:00,ARRESTED
203,2,2023-06-24T04:00:00,ARRESTED
204,8,2026-04-04T05:00:00,UNDER_INQUIRY
205,7,2023-01-28T03:00:00,ARRESTED
206,9,2026-02-08T09:00:00,UNDER_INQUIRY
207,4,2025-03-30T17:00:00,UNDER_INQUIRY
208,7,2023-12-15T02:00:00,ARRESTED
209,10,2023-06-06T04:00:00,ARRESTED
210,1,2025-09-16T09:00:00,UNDER_INQUIRY
212,2,2026-02-12T17:00:00,UNDER_INQUIRY
213,9,2025-07-25T22:00:00,UNDER_INQUIRY
214,4,2026-03-09T11:00:00,UNDER_INQUIRY
215,6,2023-01-20T16:00:00,ARRESTED
216,3,2024-02-21T12:00:00,UNDER_INQUIRY
217,3,2025-03-06T07:00:00,UNDER_INQUIRY
219,6,2024-05-05T06:00:00,UNDER_INQUIRY
220,10,2025-07-31T02:00:00,UNDER_INQUIRY
221,6,2023-09-15T18:00:00,ARRESTED
222,10,2024-08-13T16:00:00,UNDER_INQUIRY
224,2,2026-05-05T21:00:00,UNDER_INQUIRY
225,9,2024-02-19T08:00:00,ARRESTED
226,7,2025-11-17T17:00:00,UNDER_INQUIRY
227,1,2026-04-25T00:00:00,UNDER_INQUIRY
228,5,2026-05-13T16:00:00,UNDER_INQUIRY
229,6,2024-11-27T16:00:00,ARRESTED
230,5,2026-02-18T09:00:00,UNDER_INQUIRY
231,5,2023-09-26T22:00:00,ARRESTED
232,2,2025-12-27T15:00:00,UNDER_INQUIRY
233,6,2025-12-18T11:00:00,UNDER_INQUIRY
234,7,2024-12-18T23:00:00,ARRESTED
235,5,2025-02-20T02:00:00,UNDER_INQUIRY
238,9,2025-07-26T04:00:00,UNDER_INQUIRY
239,1,2024-07-04T21:00:00,UNDER_INQUIRY
240,4,2024-10-19T01:00:00,ARRESTED
243,3,2025-06-19T16:00:00,UNDER_INQUIRY
244,4,2025-02-23T13:00:00,UNDER_INQUIRY
245,1,2025-09-22T21:00:00,UNDER_INQUIRY
247,5,2023-08-22T21:00:00,ARRESTED
248,6,2024-08-04T06:00:00,ARRESTED
249,1,2024-06-29T16:00:00,ARRESTED
