District_Name,UnitName,FIR_YEAR,FIR_MONTH,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,Place of Offence,Male,Female,Boy,Girl,VICTIM COUNT,Accused Count,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count
Hubballi Dharwad City,Hubballi Dharwad City Town PS,2024,4,28,Non Heinous,Traced,Typed,RIOTS,Group Clash,16.156339,74.784906,IPC Section 321,A.K.NAIK (PI),"Near Main Market / Junction, Hubballi Dharwad City",1,0,0,0,1,2,2,2,0
Uttara Kannada,Uttara Kannada Rural PS,2024,10,19,Heinous,UI,Oral,MURDER,Dowry Murder,13.664714,74.456563,IPC Section 349,M.S.PATIL (PSI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,1,1,0,0
Yadgir,Yadgir Traffic PS,2021,12,16,Non Heinous,Traced,Typed,NARCOTICS,NDPS Possession,17.817897,77.727019,IPC Section 421,K.V.RAMESH (PI),"Near Main Market / Junction, Yadgir",3,0,0,0,3,2,0,2,0
Bengaluru Rural,Bengaluru Rural Town PS,2024,7,18,Heinous,Convicted,Typed,KIDNAPPING,Kidnapping for Ransom,11.861291,74.243856,IPC Section 350,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru Rural",0,3,0,0,3,1,0,1,1
Raichur,Raichur Traffic PS,2023,3,20,Heinous,Convicted,Typed,KIDNAPPING,Abduction,18.149019,75.891364,IPC Section 437,S.B.DEVAR (PSI),"Near Main Market / Junction, Raichur",0,3,0,0,3,2,1,1,2
Kodagu,Kodagu Rural PS,2025,5,6,Non Heinous,Dis/Acq,Online,NARCOTICS,NDPS Possession,14.083302,78.328232,IPC Section 444,A.K.NAIK (PI),"Near Main Market / Junction, Kodagu",1,0,0,0,1,1,1,0,0
K.G.F,K.G.F Traffic PS,2022,8,11,Non Heinous,UI,Written,ASSAULT,Assault on Women,17.649198,75.96573,IPC Section 308,A.K.NAIK (PI),"Near Main Market / Junction, K.G.F",1,2,0,0,3,1,0,1,0
Shivamogga,Shivamogga Rural PS,2023,9,28,Non Heinous,UI,Online,NARCOTICS,Ganja Seizure,17.850085,74.9042,IPC Section 424,M.S.PATIL (PSI),"Near Main Market / Junction, Shivamogga",0,1,0,0,1,2,2,2,0
Bengaluru Urban,Bengaluru Urban Traffic PS,2024,12,20,Non Heinous,Pending Trial,Typed,RIOTS,Political Riots,12.902606,74.762792,IPC Section 313,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru Urban",3,0,0,1,3,2,0,1,0
Haveri,Haveri Rural PS,2022,11,5,Non Heinous,Convicted,Written,NARCOTICS,NDPS Possession,15.633127,75.533529,IPC Section 495,M.S.PATIL (PSI),"Near Main Market / Junction, Haveri",1,0,0,0,1,1,0,1,1
Vijayapur,Vijayapur Town PS,2023,8,18,Non Heinous,Convicted,Typed,ASSAULT,Grievous Hurt,17.400168,78.06627,IPC Section 305,N.S.KUMAR (PSI),"Near Main Market / Junction, Vijayapur",1,2,0,0,3,3,3,2,3
Shivamogga,Shivamogga Town PS,2025,1,22,Non Heinous,Traced,Written,NARCOTICS,NDPS Possession,17.353697,76.947241,IPC Section 446,G.H.KUPPI (PSI),"Near Main Market / Junction, Shivamogga",0,3,0,0,3,2,0,0,0
Belagavi City,Belagavi City Rural PS,2022,7,24,Heinous,UI,Oral,POCSO,POCSO Assault,16.449176,74.948373,IPC Section 421,N.S.KUMAR (PSI),"Near Main Market / Junction, Belagavi City",0,1,0,0,1,1,1,1,0
Chickballapura,Chickballapura Rural PS,2025,10,18,Non Heinous,Dis/Acq,Online,RIOTS,Communal Riots,15.711574,74.393194,IPC Section 305,G.H.KUPPI (PSI),"Near Main Market / Junction, Chickballapura",1,0,0,0,1,3,0,2,0
Chamarajanagar,Chamarajanagar Rural PS,2023,10,16,Heinous,Convicted,Online,MURDER,Attempt to Murder,17.850678,74.756315,IPC Section 413,N.S.KUMAR (PSI),"Near Main Market / Junction, Chamarajanagar",2,1,0,0,3,1,0,1,1
Chamarajanagar,Chamarajanagar Central PS,2023,7,26,Non Heinous,BoundOver,Written,CYBER CRIME,UPI Fraud,16.065037,76.201509,IPC Section 309,M.S.PATIL (PSI),"Near Main Market / Junction, Chamarajanagar",2,1,1,0,3,2,0,1,0
Yadgir,Yadgir Traffic PS,2022,5,10,Non Heinous,Pending Trial,Written,FRAUD,Embezzlement,16.03634,77.128287,IPC Section 333,N.S.KUMAR (PSI),"Near Main Market / Junction, Yadgir",1,1,0,0,2,1,1,1,0
Belagavi Dist,Belagavi Dist Traffic PS,2022,3,19,Non Heinous,UI,Online,NARCOTICS,Ganja Seizure,17.043543,76.231938,IPC Section 410,S.B.DEVAR (PSI),"Near Main Market / Junction, Belagavi Dist",2,0,0,0,2,1,1,1,0
Bengaluru Dist,Bengaluru Dist Central PS,2021,9,17,Non Heinous,Transfered,Typed,THEFT,Bicycle Theft,14.286173,76.578515,IPC Section 476,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru Dist",0,2,0,0,2,1,1,0,0
Ramanagara,Ramanagara Rural PS,2023,2,11,Heinous,Traced,Written,MURDER,Dowry Murder,18.150753,75.162913,IPC Section 479,M.S.PATIL (PSI),"Near Main Market / Junction, Ramanagara",1,0,0,0,1,2,2,2,0
Bengaluru Rural,Bengaluru Rural Central PS,2023,5,25,Non Heinous,Dis/Acq,Oral,RIOTS,Political Riots,13.784491,75.222576,IPC Section 482,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Rural",0,1,0,0,1,3,2,2,0
Bagalkot,Bagalkot Traffic PS,2024,7,20,Non Heinous,Dis/Acq,Oral,RIOTS,Group Clash,14.309375,75.199903,IPC Section 441,S.B.DEVAR (PSI),"Near Main Market / Junction, Bagalkot",2,1,0,0,3,1,0,1,0
Gadag,Gadag Traffic PS,2024,8,15,Non Heinous,Dis/Acq,Online,THEFT,Pickpocketing,14.543159,78.20788,IPC Section 434,R S BIRADAR (PI),"Near Main Market / Junction, Gadag",1,0,0,0,1,1,0,0,0
Belagavi Dist,Belagavi Dist Central PS,2025,4,17,Heinous,Pending Trial,Online,KIDNAPPING,Kidnapping for Ransom,16.901355,77.933905,IPC Section 327,S.B.DEVAR (PSI),"Near Main Market / Junction, Belagavi Dist",0,1,1,0,1,3,3,2,0
Vijayanagara,Vijayanagara Cyber Crime PS,2024,12,5,Non Heinous,Pending Trial,Typed,ASSAULT,Assault on Women,16.396217,77.101971,IPC Section 426,S.B.DEVAR (PSI),"Near Main Market / Junction, Vijayanagara",3,0,0,1,3,1,1,0,0
Bengaluru City,Bengaluru City Traffic PS,2025,9,4,Non Heinous,UI,Written,FRAUD,Embezzlement,16.715957,76.842918,IPC Section 493,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru City",1,0,0,0,1,2,0,2,0
Koppal,Koppal Town PS,2022,1,24,Non Heinous,Pending Trial,Typed,ASSAULT,Grievous Hurt,13.052074,78.298372,IPC Section 421,A.K.NAIK (PI),"Near Main Market / Junction, Koppal",1,0,0,0,1,3,3,3,0
Hassan,Hassan Rural PS,2022,2,15,Non Heinous,Pending Trial,Written,THEFT,Pickpocketing,14.157705,76.611411,IPC Section 403,G.H.KUPPI (PSI),"Near Main Market / Junction, Hassan",0,1,0,0,1,3,1,0,0
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2025,1,25,Non Heinous,Dis/Acq,Typed,RIOTS,Communal Riots,13.031497,74.803426,IPC Section 399,S.B.DEVAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",2,1,1,0,3,4,2,4,0
Kalaburagi,Kalaburagi Town PS,2024,3,16,Non Heinous,UI,Typed,THEFT,Pickpocketing,13.075734,77.803992,IPC Section 416,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi",2,0,0,0,2,2,2,0,0
Belagavi City,Belagavi City Town PS,2023,3,28,Non Heinous,Convicted,Oral,ASSAULT,Assault on Women,12.331033,74.488428,IPC Section 337,N.S.KUMAR (PSI),"Near Main Market / Junction, Belagavi City",1,1,0,0,2,3,1,0,1
Chikkamagaluru,Chikkamagaluru Traffic PS,2023,9,24,Heinous,Convicted,Written,KIDNAPPING,Kidnapping of Children,15.082305,78.035831,IPC Section 422,N.S.KUMAR (PSI),"Near Main Market / Junction, Chikkamagaluru",2,1,1,0,3,3,3,3,1
Gadag,Gadag Cyber Crime PS,2023,12,27,Non Heinous,Dis/Acq,Written,CYBER CRIME,Identity Theft,12.243888,77.035614,IPC Section 486,M.S.PATIL (PSI),"Near Main Market / Junction, Gadag",1,0,0,0,1,3,2,0,0
Gadag,Gadag Rural PS,2023,11,3,Heinous,Convicted,Typed,MURDER,Attempt to Murder,12.417217,78.088951,IPC Section 335,A.K.NAIK (PI),"Near Main Market / Junction, Gadag",0,3,0,0,3,1,1,0,1
K.G.F,K.G.F Cyber Crime PS,2024,10,6,Non Heinous,Convicted,Oral,CYBER CRIME,Social Media Harassment,16.369294,75.412992,IPC Section 444,G.H.KUPPI (PSI),"Near Main Market / Junction, K.G.F",2,1,1,0,3,1,1,1,1
Bengaluru Dist,Bengaluru Dist Central PS,2022,2,21,Non Heinous,Traced,Online,BURGLARY,Shop Burglary,15.526511,76.849712,IPC Section 358,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Dist",2,0,0,1,2,3,0,1,0
Belagavi City,Belagavi City Traffic PS,2022,4,3,Heinous,Pending Trial,Online,KIDNAPPING,Kidnapping of Children,17.657396,74.640209,IPC Section 310,S.B.DEVAR (PSI),"Near Main Market / Junction, Belagavi City",1,0,0,0,1,2,2,2,0
Dakshina Kannada,Dakshina Kannada Rural PS,2025,6,28,Non Heinous,Convicted,Oral,THEFT,Pickpocketing,17.807799,74.748343,IPC Section 447,S.B.DEVAR (PSI),"Near Main Market / Junction, Dakshina Kannada",1,1,0,0,2,1,0,0,1
Davanagere,Davanagere Rural PS,2022,4,2,Non Heinous,UI,Written,NARCOTICS,Ganja Seizure,12.212427,75.212888,IPC Section 364,A.K.NAIK (PI),"Near Main Market / Junction, Davanagere",2,0,0,1,2,2,0,1,0
Mysuru Dist,Mysuru Dist Traffic PS,2023,9,28,Heinous,Dis/Acq,Written,KIDNAPPING,Abduction,13.611668,74.752902,IPC Section 393,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru Dist",0,2,1,0,2,1,1,0,0
Dakshina Kannada,Dakshina Kannada Town PS,2023,12,28,Heinous,Transfered,Typed,POCSO,POCSO Assault,15.436548,74.719055,IPC Section 325,M.S.PATIL (PSI),"Near Main Market / Junction, Dakshina Kannada",0,3,0,0,3,3,2,1,0
Shivamogga,Shivamogga Traffic PS,2022,12,18,Non Heinous,Pending Trial,Typed,BURGLARY,Shop Burglary,12.363049,75.685258,IPC Section 445,A.K.NAIK (PI),"Near Main Market / Junction, Shivamogga",1,2,1,0,3,3,2,1,0
Mangaluru City,Mangaluru City Cyber Crime PS,2024,9,17,Heinous,BoundOver,Oral,POCSO,POCSO Assault,14.258784,77.066708,IPC Section 409,N.S.KUMAR (PSI),"Near Main Market / Junction, Mangaluru City",0,1,0,0,1,1,1,0,0
Davanagere,Davanagere Town PS,2024,6,19,Non Heinous,UI,Oral,RIOTS,Group Clash,14.135803,75.251293,IPC Section 474,N.S.KUMAR (PSI),"Near Main Market / Junction, Davanagere",1,2,0,0,3,4,2,0,0
Kolar,Kolar Town PS,2024,5,9,Non Heinous,Convicted,Online,RIOTS,Student Riots,17.379002,77.946397,IPC Section 392,G.H.KUPPI (PSI),"Near Main Market / Junction, Kolar",0,1,1,0,1,1,0,0,1
Ballari,Ballari Central PS,2024,10,5,Non Heinous,UI,Written,BURGLARY,House Breaking by Night,14.906889,75.209309,IPC Section 418,K.V.RAMESH (PI),"Near Main Market / Junction, Ballari",1,1,1,0,2,2,0,2,0
Mangaluru City,Mangaluru City Rural PS,2025,10,27,Non Heinous,Convicted,Online,CYBER CRIME,Identity Theft,12.718762,74.306302,IPC Section 489,M.S.PATIL (PSI),"Near Main Market / Junction, Mangaluru City",1,2,0,1,3,4,3,1,4
Dakshina Kannada,Dakshina Kannada Cyber Crime PS,2024,11,14,Non Heinous,Convicted,Written,RIOTS,Group Clash,12.019054,74.474664,IPC Section 315,M.S.PATIL (PSI),"Near Main Market / Junction, Dakshina Kannada",1,1,0,0,2,4,3,3,2
Mysuru City,Mysuru City Cyber Crime PS,2024,7,23,Heinous,Pending Trial,Typed,KIDNAPPING,Kidnapping for Ransom,16.689883,74.886817,IPC Section 389,S.B.DEVAR (PSI),"Near Main Market / Junction, Mysuru City",2,0,0,0,2,1,0,1,0
Gadag,Gadag Central PS,2023,7,21,Non Heinous,Traced,Oral,CYBER CRIME,Identity Theft,13.809617,78.276104,IPC Section 419,N.S.KUMAR (PSI),"Near Main Market / Junction, Gadag",0,1,1,0,1,1,1,1,0
Belagavi Dist,Belagavi Dist Town PS,2024,7,21,Non Heinous,Convicted,Typed,FRAUD,Embezzlement,16.569466,74.543109,IPC Section 377,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi Dist",1,2,1,0,3,3,1,3,1
Chickballapura,Chickballapura Town PS,2024,1,27,Non Heinous,Convicted,Oral,NARCOTICS,NDPS Possession,11.86114,76.912965,IPC Section 402,A.K.NAIK (PI),"Near Main Market / Junction, Chickballapura",1,0,0,0,1,2,1,0,1
Mangaluru City,Mangaluru City Traffic PS,2024,9,16,Heinous,Traced,Online,MURDER,Dowry Murder,18.083789,78.265618,IPC Section 327,G.H.KUPPI (PSI),"Near Main Market / Junction, Mangaluru City",1,0,0,0,1,4,0,3,0
Mysuru Dist,Mysuru Dist Traffic PS,2024,3,1,Non Heinous,Pending Trial,Written,NARCOTICS,Ganja Seizure,16.456525,74.814062,IPC Section 399,S.B.DEVAR (PSI),"Near Main Market / Junction, Mysuru Dist",1,2,0,0,3,2,1,0,0
Ballari,Ballari Central PS,2022,4,11,Non Heinous,Transfered,Online,BURGLARY,Shop Burglary,16.096584,74.45374,IPC Section 375,G.H.KUPPI (PSI),"Near Main Market / Junction, Ballari",1,0,0,0,1,2,0,1,0
Mysuru City,Mysuru City Cyber Crime PS,2023,1,8,Non Heinous,Transfered,Typed,CYBER CRIME,Cyber Fraud,13.455835,75.073778,IPC Section 456,A.K.NAIK (PI),"Near Main Market / Junction, Mysuru City",3,0,0,0,3,3,0,2,0
Chitradurga,Chitradurga Traffic PS,2023,3,22,Non Heinous,BoundOver,Written,FRAUD,Cheating,15.287577,75.661691,IPC Section 433,N.S.KUMAR (PSI),"Near Main Market / Junction, Chitradurga",1,2,1,0,3,3,1,0,0
Hubballi Dharwad City,Hubballi Dharwad City Central PS,2024,4,2,Heinous,Convicted,Typed,KIDNAPPING,Kidnapping for Ransom,16.690132,76.687217,IPC Section 357,M.S.PATIL (PSI),"Near Main Market / Junction, Hubballi Dharwad City",1,0,0,0,1,1,1,1,1
Uttara Kannada,Uttara Kannada Rural PS,2024,2,25,Non Heinous,Convicted,Online,FRAUD,Embezzlement,15.650704,75.060232,IPC Section 308,G.H.KUPPI (PSI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,3,2,2,1
Kolar,Kolar Town PS,2022,8,4,Non Heinous,Compounded,Oral,BURGLARY,House Breaking by Night,12.201158,74.927696,IPC Section 439,G.H.KUPPI (PSI),"Near Main Market / Junction, Kolar",1,0,0,0,1,4,3,3,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2025,1,15,Non Heinous,Convicted,Oral,RIOTS,Student Riots,15.979973,77.713291,IPC Section 323,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",1,1,0,1,2,4,0,1,3
Ramanagara,Ramanagara Rural PS,2022,3,19,Heinous,Dis/Acq,Online,MURDER,Murder due to Enmity,13.07535,74.551361,IPC Section 400,A.K.NAIK (PI),"Near Main Market / Junction, Ramanagara",0,1,0,0,1,1,0,1,0
Mysuru City,Mysuru City Traffic PS,2025,1,10,Heinous,Convicted,Online,MURDER,Murder for Gain,18.190526,74.318366,IPC Section 310,A.K.NAIK (PI),"Near Main Market / Junction, Mysuru City",3,0,0,0,3,3,0,3,3
Bengaluru Dist,Bengaluru Dist Cyber Crime PS,2025,11,7,Heinous,UI,Online,MURDER,Murder due to Enmity,16.83138,76.507676,IPC Section 484,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru Dist",3,0,0,1,3,1,0,1,0
Dharwad,Dharwad Traffic PS,2023,12,6,Heinous,Convicted,Written,MURDER,Dowry Murder,11.84047,75.169518,IPC Section 472,N.S.KUMAR (PSI),"Near Main Market / Junction, Dharwad",0,1,1,0,1,4,1,2,1
Chamarajanagar,Chamarajanagar Cyber Crime PS,2025,4,2,Non Heinous,Pending Trial,Written,NARCOTICS,Ganja Seizure,16.815677,77.133625,IPC Section 354,S.B.DEVAR (PSI),"Near Main Market / Junction, Chamarajanagar",1,0,0,0,1,4,4,0,0
Vijayapur,Vijayapur Rural PS,2022,11,5,Heinous,Dis/Acq,Typed,MURDER,Attempt to Murder,14.082556,77.775205,IPC Section 476,G.H.KUPPI (PSI),"Near Main Market / Junction, Vijayapur",3,0,0,1,3,3,1,1,0
Coastal Security Police,Coastal Security Police Town PS,2025,8,27,Non Heinous,UI,Oral,BURGLARY,Shop Burglary,16.091523,75.597479,IPC Section 348,M.S.PATIL (PSI),"Near Main Market / Junction, Coastal Security Police",0,2,0,0,2,1,1,0,0
Ballari,Ballari Traffic PS,2023,6,15,Heinous,UI,Online,MURDER,Attempt to Murder,16.866276,77.053275,IPC Section 471,M.S.PATIL (PSI),"Near Main Market / Junction, Ballari",2,0,0,0,2,2,0,0,0
