District_Name,UnitName
Mangaluru City,Mangaluru City Town PS
Mangaluru City,Mangaluru City Traffic PS
Mysuru City,Mysuru City Central PS
Mysuru City,Mysuru City Cyber Crime PS
Mysuru City,Mysuru City Rural PS
Mysuru City,Mysuru City Town PS
Mysuru City,Mysuru City Traffic PS
Mysuru Dist,Mysuru Dist Central PS
Mysuru Dist,Mysuru Dist Cyber Crime PS
Mysuru Dist,Mysuru Dist Rural PS
Mysuru Dist,Mysuru Dist Town PS
Mysuru Dist,Mysuru Dist Traffic PS
Raichur,Raichur Central PS
Raichur,Raichur Cyber Crime PS
Raichur,Raichur Rural PS
Raichur,Raichur Town PS
Raichur,Raichur Traffic PS
Ramanagara,Ramanagara Central PS
Ramanagara,Ramanagara Cyber Crime PS
Ramanagara,Ramanagara Rural PS
Ramanagara,Ramanagara Town PS
Ramanagara,Ramanagara Traffic PS
Shivamogga,Shivamogga Central PS
Shivamogga,Shivamogga Cyber Crime PS
Shivamogga,Shivamogga Rural PS
Shivamogga,Shivamogga Town PS
Shivamogga,Shivamogga Traffic PS
Tumakuru,Tumakuru Central PS
Tumakuru,Tumakuru Cyber Crime PS
Tumakuru,Tumakuru Rural PS
Tumakuru,Tumakuru Town PS
Tumakuru,Tumakuru Traffic PS
Udupi,Udupi Central PS
Udupi,Udupi Cyber Crime PS
Udupi,Udupi Rural PS
Udupi,Udupi Town PS
Udupi,Udupi Traffic PS
Uttara Kannada,Uttara Kannada Central PS
Uttara Kannada,Uttara Kannada Cyber Crime PS
Uttara Kannada,Uttara Kannada Rural PS
Uttara Kannada,Uttara Kannada Town PS
Uttara Kannada,Uttara Kannada Traffic PS
Vijayanagara,Vijayanagara Central PS
Vijayanagara,Vijayanagara Cyber Crime PS
Vijayanagara,Vijayanagara Rural PS
Vijayanagara,Vijayanagara Town PS
Vijayanagara,Vijayanagara Traffic PS
Vijayapur,Vijayapur Central PS
Vijayapur,Vijayapur Cyber Crime PS
Vijayapur,Vijayapur Rural PS
Vijayapur,Vijayapur Town PS
Vijayapur,Vijayapur Traffic PS
Yadgir,Yadgir Central PS
Yadgir,Yadgir Cyber Crime PS
Yadgir,Yadgir Rural PS
Yadgir,Yadgir Town PS
Yadgir,Yadgir Traffic PS
